"message_datetime";"route";"run";"vehicle";"latitude";"longitude";"position";"cnt";"month";"day"
"2017-09-08 09:53:00";"501";"15";"4228";"43.638817";"-79.445801";"0101000020E61000008BE1EA0088DC53C07E9065C1C4D14540";"2";"9";"5"
"2017-09-22 10:57:00";"506";"53";"1400";"43.659065";"-79.401169";"0101000020E6100000D1CABDC0ACD953C01878EE3D5CD44540";"2";"9";"5"
"2017-09-21 10:56:00";"501";"6";"4210";"43.652534";"-79.378815";"0101000020E6100000FE0E45813ED853C098C3EE3B86D34540";"2";"9";"4"
"2017-09-15 10:02:00";"504";"15";"4184";"43.669567";"-79.353020";"0101000020E61000005FB532E197D653C08CBD175FB4D54540";"2";"9";"5"
"2017-09-15 10:02:00";"504";"12";"4184";"43.668701";"-79.353020";"0101000020E61000005FB532E197D653C0B8E68EFE97D54540";"2";"9";"5"
"2017-09-18 10:56:00";"511";"8";"1809";"43.666317";"-79.411285";"0101000020E61000007715527E52DA53C069E21DE049D54540";"2";"9";"1"
"2017-09-11 10:45:00";"501";"85";"8658";"43.665115";"-79.322182";"0101000020E6100000085740A19ED453C01E8A027D22D54540";"2";"9";"1"
"2017-09-12 10:47:40";"506";"8";"4001";"43.650200";"-79.439384";"0101000020E6100000AF9811DE1EDC53C0FAEDEBC039D34540";"2";"9";"2"
"2017-09-18 10:17:40";"511";"4";"8194";"43.666233";"-79.411331";"0101000020E61000002F35423F53DA53C00B42791F47D54540";"2";"9";"1"
"2017-09-19 10:30:40";"502";"8";"8189";"43.681435";"-79.285080";"0101000020E6100000982F2FC03ED253C0C5AC174339D74540";"2";"9";"2"
"2017-09-29 10:34:20";"512";"8";"4022";"43.679684";"-79.435448";"0101000020E6100000F3C64961DEDB53C0A7CEA3E2FFD64540";"2";"9";"5"
"2017-09-29 10:34:20";"512";"2";"4022";"43.679684";"-79.435448";"0101000020E6100000F3C64961DEDB53C0A7CEA3E2FFD64540";"2";"9";"5"
"2017-09-29 10:43:20";"504";"8";"4034";"43.639317";"-79.446716";"0101000020E610000065A6B4FE96DC53C06F63B323D5D14540";"2";"9";"5"
"2017-09-27 10:19:40";"509";"1";"4440";"43.636616";"-79.399948";"0101000020E610000070067FBF98D953C01F0E12A27CD14540";"2";"9";"3"
"2017-09-27 10:19:40";"509";"5";"4440";"43.636585";"-79.399681";"0101000020E610000049F59D5F94D953C0E40F069E7BD14540";"2";"9";"3"
"2017-09-01 10:30:00";"501";"5";"1032";"43.638599";"-79.446747";"0101000020E610000083A5BA8097DC53C01021AE9CBDD14540";"2";"9";"5"
"2017-09-26 10:01:20";"504";"39";"4087";"43.676765";"-79.358818";"0101000020E6100000D5CDC5DFF6D653C0EA094B3CA0D64540";"2";"9";"2"
"2017-09-26 10:01:20";"504";"13";"4087";"43.676018";"-79.358582";"0101000020E6100000CBBBEA01F3D653C0F0C000C287D64540";"2";"9";"2"
"2017-09-29 10:36:00";"512";"1";"4426";"43.677101";"-79.446831";"0101000020E6100000B2F50CE198DC53C0618BDD3EABD64540";"2";"9";"5"
"2017-09-29 10:36:00";"512";"4";"4426";"43.677101";"-79.446831";"0101000020E6100000B2F50CE198DC53C0618BDD3EABD64540";"2";"9";"5"
